기종 (Model),항목 (Section),작업 (Task Description),링크 (Reference)
A350,G/H/I. Servicing,Visual inspection of the MLG shock-strut,Ref. MP A350-A-32-11-XX-02ZZZ-281Z-A
A350,G/H/I. Servicing,Check of the oil level and the filling of the VFG,Ref. MP A350-A-24-22-XX-00ZZZ-210Z-A
A350,G/H/I. Servicing,Check of the oil level and the filling of the APU,Ref. MP A350-A-49-91-XX-00ZZZ-210Z-A
A350,G/H/I. Servicing,Check of the oil level and the filling of the engine,Ref. MP A350-A-79-XX-XX-01ZZZ-200Z-A
A350,G/H/I. Servicing,Operational test of the manual and automatic activation of the emergency lighting system,Ref. MP A350-A-33-51-XX-04ZZZ-320Z-A
A350,G/H/I. Servicing,BITE test of the cabin illumination,Ref. MP A350-A-33-21-XX-00ZZZ-343Z-A
A350,G/H/I. Servicing,Operational test of the cockpit general illumination (Cockpit),Ref. MP A350-A-33-12-XX-00ZZZ-320Z-A
A350,G/H/I. Servicing,Filling of the potable water system with electrical power,Ref. MP A350-A-38-1X-XX-00ZZZ-210Z-A
A350,G/H/I. Servicing,Filling of the potable water system without electrical power,Ref. MP A350-A-38-1X-XX-01ZZZ-210Z-A
A350,G/H/I. Servicing,Draining of the PWS with electrical power,Ref. MP A350-A-38-1X-XX-00ZZZ-220Z-A
A350,G/H/I. Servicing,Draining of the PWS without electrical power,Ref. MP A350-A-38-1X-XX-02ZZZ-220Z-A
A350,G/H/I. Servicing,Servicing of the toilet system,Ref. MP A350-A-38-31-XX-00ZZZ-200Z-A
A350,G/H/I. Servicing,Parking and Storage Procedure,Ref. MP A350-A-10-1X-XX-00ZZZ-170Z-A
A350,G/H/I. Servicing,External cleaning of the aircraft,Ref. MP A350-A-12-21-11-00ZZZ-200Z-A
A350,G/H/I. Servicing,Internal cleaning of the aircraft,Ref. MP A350-A-12-21-12-00ZZZ-200Z-A
A350,G/H/I. Servicing,Cold-weather maintenance procedures,Ref. MP A350-A-12-31-XX-00ZZZ-170Z-A
A350,G/H/I. Servicing,Pressure refueling with the automatic control,Ref. MP A350-A-28-25-XX-00ZZZ-211Z-A
A350,G/H/I. Servicing,Pressure refueling with the manual control,Ref. MP A350-A-28-25-XX-01ZZZ-211Z-A
A350,G/H/I. Servicing,Draining the water that collected in the fuel tanks,Ref. MP A350-A-28-11-XX-09ZZZ-200Z-A
A350,G/H/I. Servicing,Check of the pressure of the oxygen cylinder (Cockpit),Ref. MP A350-A-35-1X-XX-01ZZZ-560Z-A
A380,A. Configuration,Put CHOCK - WHEEL(S) in position,Ref. AMM TASK 10-11-00-555-810
A380,A. Configuration,Make sure that the landing-gear safety devices are installed,Ref. AMM TASK 32-00-00-481-801
